epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1531.17,0.56756,0.40032,1.03167,0.92087,0.93111,0.95749,0.8122,0.64106,0.3856,1.00267,0.000462281,0.000462281,0.000462281
43,1567.76,0.56588,0.39535,1.02908,0.91064,0.91484,0.95574,0.80831,0.65105,0.39003,1.00667,0.000438703,0.000438703,0.000438703
44,1603.65,0.56218,0.39349,1.02433,0.90499,0.9346,0.95878,0.80767,0.66652,0.39946,0.99951,0.000415124,0.000415124,0.000415124
45,1639.69,0.54422,0.37336,1.024,0.92655,0.92693,0.96192,0.81324,0.64401,0.40231,0.99669,0.000391546,0.000391546,0.000391546
46,1680.88,0.55004,0.37912,1.02161,0.91424,0.93111,0.95755,0.81186,0.648,0.3983,1.00604,0.000367967,0.000367967,0.000367967
47,1716.78,0.54688,0.3706,1.01263,0.92029,0.92902,0.9614,0.81823,0.63257,0.39403,1.00857,0.000344389,0.000344389,0.000344389
48,1753.37,0.53279,0.36909,1.01674,0.92267,0.93946,0.96498,0.82373,0.64276,0.38049,1.01531,0.00032081,0.00032081,0.00032081
49,1789.5,0.52306,0.36115,1.01069,0.94771,0.90808,0.96081,0.82123,0.62819,0.3811,0.99845,0.000297232,0.000297232,0.000297232
50,1825.47,0.51501,0.34973,1.00699,0.9334,0.91232,0.96008,0.82062,0.62736,0.40093,0.99868,0.000273654,0.000273654,0.000273654
51,1862.68,0.49946,0.32305,0.98671,0.93238,0.90814,0.9618,0.82036,0.61983,0.39388,1.01257,0.000250075,0.000250075,0.000250075
52,1898.77,0.48891,0.3114,0.97872,0.92512,0.92855,0.9618,0.81697,0.62759,0.38001,1.02732,0.000226497,0.000226497,0.000226497
53,1934.45,0.48276,0.29846,0.97854,0.93772,0.91156,0.96253,0.82323,0.6273,0.36517,1.01987,0.000202918,0.000202918,0.000202918
54,1970.47,0.47439,0.29363,0.9775,0.93629,0.92036,0.95998,0.82928,0.61746,0.36418,1.00812,0.00017934,0.00017934,0.00017934
55,2006.57,0.466,0.28707,0.96558,0.92419,0.92276,0.96325,0.82705,0.63318,0.36238,1.01402,0.000155761,0.000155761,0.000155761
56,2042.09,0.46518,0.28142,0.96553,0.93319,0.91441,0.96413,0.82718,0.63564,0.36426,1.02487,0.000132183,0.000132183,0.000132183
57,2077.83,0.45536,0.27583,0.97236,0.94035,0.91232,0.96435,0.83341,0.61439,0.34789,1.01611,0.000108604,0.000108604,0.000108604
58,2120.12,0.44163,0.27022,0.9556,0.91974,0.93304,0.96486,0.83777,0.60626,0.35133,1.01326,8.50255e-05,8.50255e-05,8.50255e-05
59,2161.44,0.44452,0.27498,0.95729,0.91786,0.93319,0.96388,0.83484,0.60553,0.34594,1.01805,6.1447e-05,6.1447e-05,6.1447e-05
60,2203.04,0.43015,0.25944,0.9535,0.93691,0.92067,0.96541,0.84081,0.60786,0.34399,1.0227,3.78685e-05,3.78685e-05,3.78685e-05
